Company Name,High,Low,Last Price,Prv Close,Change,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating
KSE,418.95,418.95,418.95,399,19.95,7415,450,461,438,4 Star
V2 Retail,39.90,39.90,39.90,38,1.90,20143,69970,49166,35473,3 Star
ARSS Infra,45.25,43.50,45.25,43.10,2.15,391159,39341,55266,48952,4 Star
Welspun Ent,304.30,304.30,304.30,289.85,14.45,1444,30371,21164,13294,3 Star
Emkay Global,54.85,51.50,54.85,52.25,2.60,10405,9918,18442,13401,2 Star
Dalmia Bharat,470,443.70,465,442.95,22.05,51572,28793,83400,34075,2 Star
Welspun Project,33.80,32.30,33.80,32.20,1.60,58897,127278,66140,66632,3 Star
SKM Egg Product,114,112.90,114,108.60,5.40,73398,172297,243087,195404,2 Star
Oswal Minerals,22.30,20.20,22.30,21.25,1.05,41,383,323,292,3 Star
Bodal Chemicals,39.35,35.85,39.35,37.50,1.85,360254,254585,265365,351538,4 Star
Delta Magnets,34.25,34.25,34.25,32.65,1.60,22,495,568,511,2 Star
Jeypore Sugar,85,82.80,84.95,81,3.95,225,143,190,133,4 Star
Sandesh,532,464.95,497.85,474.70,23.15,43147,8342,7830,32946,4 Star
Supreme Tex,22.60,21.70,22.60,21.55,1.05,65360,102137,135455,107916,2 Star
Timken,438.70,411.70,429.10,409.85,19.25,798797,482162,371069,198191,5 Star
Eros Intl,313.80,296,306,292.35,13.65,709389,341008,275247,208459,5 Star
Tokyo Plast,44.75,39,40.70,38.90,1.80,26874,36602,25770,13634,3 Star
Dhampur Sugar,51.95,42,50.05,47.85,2.20,898157,102104,125740,82303,4 Star
Bafna Pharma,37.80,35.50,36.60,35,1.60,338364,117474,75255,43984,5 Star
KCP,56.95,54.30,55.50,53.10,2.40,278656,82659,60627,56242,5 Star
Indo-National,855,795.05,836,800.10,35.90,15521,3967,9109,3819,4 Star
Karur KCP,60,54.70,59.95,57.40,2.55,3379,3612,2676,1858,3 Star
Nelcast,40.50,37.65,40.50,38.80,1.70,133981,90565,63124,33972,5 Star
WABCO India,4110.05,3927.10,4080,3911.05,168.95,14704,15158,10587,7082,3 Star
Blue Dart,6239,5850,6169.95,5914.95,255,11399,5830,8922,7977,4 Star
TD Power System,440,386.30,406.90,390.20,16.70,70747,26250,16534,40730,4 Star
Vesuvius India,718,686.10,712.50,683.65,28.85,3531,1730,6984,4601,2 Star
Neo Corp,33.45,31.75,33.20,31.90,1.30,88002,105251,87498,64783,3 Star
Peacock Ind,20.95,20.35,20.85,20.05,0.80,27747,37109,84067,64316,2 Star
Archies,31.70,29.40,31.70,30.50,1.20,477599,767408,613437,453292,3 Star
Aurobindo Pharm,1110.60,1064.20,1102.95,1061.75,41.20,2255247,1806102,1625731,1846976,4 Star
Accelya Kale,877.60,827.05,858.90,826.80,32.10,42616,25302,28324,27694,4 Star
8K Miles Soft,575,480,553.30,532.70,20.60,439672,91141,87544,83928,5 Star
Hitachi Home,721.90,650.05,680.65,655.35,25.30,518511,114293,157382,217273,4 Star
J. K. Cement,660,628,656,631.65,24.35,80596,106422,126922,95417,2 Star
Piramal Phytoca,38.70,36.15,37.90,36.50,1.40,13992,17028,34952,31038,2 Star
ING Vysya Bank,760,729.95,756,728.20,27.80,566777,658719,496101,203463,3 Star
City Union Bank,89.05,85,88.75,85.50,3.25,1200055,835516,631256,718249,5 Star
J Kumar Infra,363.70,335.20,348,335.25,12.75,107857,138324,100618,41584,3 Star
Ingersoll Rand,925,863.35,901.05,868.15,32.90,165311,80070,112807,114789,4 Star
Jyoti Structure,45,41.80,42.50,40.95,1.55,2070037,1071130,1474847,868748,4 Star
