CompanyName,CurrentPrice,DayVolume,FiveDayVolume,TenDayVolume,ThirtyDayVolume,VolumeRating,EPS,EPSRating,StanaloneProfit,Recommendation,News,API
HUL,783.40,506435,853812,781245,830484,3 star,17.88,1 star,,BUY*,27.11.2014@ Buy Hindustan Unilever advises Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
JK Tyre & Ind,616.75,942601,1479311,1010414,917063,3 star,32.80,2 star,,HOLD,25.11.2014@ Hold JK Tyre may test Rs 700-750: Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
Celestial Labs,29.90,31845,82339,85888,85822,2 star,0.49,1 star,Yes,,03.06.2014@ Celestial Labs standalone Mar '14 sales at Rs 8.20 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/celestiallabs/CL05
Guj State Petro,112.40,3899663,2714876,1764438,1164620,5 star,7.45,1 star,,,25.11.2014@ Motilal Oswal neutral on Gujarat State Petronet,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
Shanthi Gears,139.05,52156,125735,126946,106751,2 star,2.25,1 star,Yes,,28.10.2014@ Shanthi Gears standalone Sep '14 sales at Rs 37.73 crore,http://www.moneycontrol.com/india/stockpricequote/engineering/shanthigears/SG04
Petronet LNG,198.20,463156,1337882,1093194,1276920,3 star,9.49,1 star,,,07.11.2014@ Petronet LNG Q2 profit jumps 68% on operational performance,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN
Manjushree Tech,403,7390,35140,47565,31995,2 star,19.48,1 star,Yes,,28.10.2014@ Manjushree Tech standalone Sep '14 sales at Rs 104.77 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/manjushreetechnopack/MT14
Oswal Minerals,25.25,3,981,794,460,3 star,3.40,1 star,Yes,,20.08.2014@ Oswal Minerals standalone Jun '14 sales at Rs 207.26 crore,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
Flexituff Intl,215,15930,21512,35860,30759,2 star,5.13,1 star,Yes,,06.11.2014@ Flexituff Intl consolidated Sep '14 sales at Rs 290.50 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/flexituffinternational/FI08
EIH Assoc Hotel,219.50,562,6183,4702,3004,3 star,7.73,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01
Bliss GVS,74.25,257816,326676,187116,154119,3 star,5.23,1 star,,,30.10.2014@ Bliss GVS: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV
Transport Corp,285,91322,280663,417666,277498,2 star,8.50,1 star,,,03.11.2014@ See freight margins rebound to 15% RoCE: Transport Corp,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04
Global Offshore,627.90,29541,115494,92456,55531,3 star,9.29,1 star,,,22.11.2014@ Global Offshore appoints Anil Devli as CEO,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
IGL,456.50,558570,540377,564660,518149,2 star,25.73,2 star,,,12.11.2014@ Indraprastha Gas Q2 PAT jump 28% to Rs 119 cr,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Vaibhav Global,617,58564,267738,187256,73701,3 star,15.47,1 star,,,21.11.2014@ Expect 15-20% vol growth in next few years: Vaibhav Global,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vaibhavglobal/VG02
Castrol,481,243060,737769,847114,441725,2 star,10.28,1 star,,,13.11.2014@ Castrol may test Rs 464-465: Abhijit Paul,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
Cipla,633.30,523245,2597671,2191440,1763861,3 star,17.29,1 star,,,26.11.2014@ Go long in Cipla says Ashish Chaturmohta,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
Zydus Wellness,710,50606,32638,39809,31092,4 star,24.69,1 star,Yes,,06.11.2014@ Zydus Wellness consolidated Sep '14 sales at Rs 103.03 crore,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
SKM Egg Product,112.65,685966,143229,107509,189204,4 star,2.58,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Archidply Ind,39,104612,79415,81973,93671,4 star,1.82,1 star,Yes,,02.06.2014@ Archidply Ind standalone Mar '14 sales at Rs 64.75 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Speciality Rest,184.45,12007,32619,131346,74626,2 star,4.02,1 star,,,19.11.2014@ To launch 12-15 stores this year: Speciality Restaurants,http://www.moneycontrol.com/india/stockpricequote/hotels/specialityrestaurants/SR06
Asian Paints,712,855266,1097510,1733965,1516419,2 star,12.19,1 star,,,26.11.2014@ Asian Paints may touch Rs 735-740: Kunal Bothra,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
